"Monat";"reale Originalwerte";"real Kalender- und saisonbereinigt (X13 JDemetra+)";"nominale Originalwerte";"nominal Kalender- und saisonbereinigt (X13 JDemetra+)"
"2017-01";82,6;101,3;84,7;104,2
"2017-02";83,3;102,6;85,9;106
"2017-03";97,5;104,2;100,6;107,7
"2017-04";99,2;102,6;102,5;106,1
"2017-05";110,1;103,3;114,3;107,1
"2017-06";109,2;102,3;113,7;106,2
"2017-07";113;102,2;118;106,6
"2017-08";109,5;100,7;114,3;105,2
"2017-09";114,5;102,4;120,5;107,2
"2017-10";109;102,3;114,4;107
"2017-11";95,6;102,2;100,1;107,1
"2017-12";105,1;103,7;110,2;109,1
"2018-01";85,4;105,2;89,6;110,7
"2018-02";84,2;103,8;88,7;109,6
"2018-03";96,1;101,7;101,5;107,7
"2018-04";102,4;106,2;108,4;112,5
"2018-05";108,3;102,1;115;108,3
"2018-06";111;102,6;118,4;109,2
"2018-07";113,2;103;120,5;109,5
"2018-08";112,2;102,5;119,5;109,2
"2018-09";116;104,2;124,5;111,2
"2018-10";110;103,4;117,9;110,5
"2018-11";99,8;106,2;106,8;113,8
"2018-12";106,6;105,8;114;113,5
"2019-01";86;106,8;91,9;114,5
"2019-02";87,7;108,3;94,1;116,5
"2019-03";99,9;105,4;107,2;113,4
"2019-04";101,4;105,1;109,8;114
"2019-05";109,7;102,6;119,8;112
"2019-06";112;103,7;122,6;113,2
"2019-07";112,3;102,3;122,6;111,4
"2019-08";113,1;102,5;123,5;111,8
"2019-09";114,2;102,9;125,6;112,5
"2019-10";111,1;105,1;122,2;115,3
"2019-11";101,8;107,4;111,9;118,3
"2019-12";106,7;107,1;117,2;118,1
"2020-01";86,5;107,1;95;118
"2020-02";88,4;105,9;97,3;116,9
"2020-03";54,7;58,1;60,2;64,2
"2020-04";25,5;26,6;28,2;29,5
"2020-05";40,4;37,4;44,9;41,5
"2020-06";66;61;73,4;67,7
"2020-07";84,8;77,2;98,2;89,1
"2020-08";90,2;81,7;104,4;94,4
"2020-09";89;80,6;102,9;92,6
"2020-10";77,2;72,1;89,3;83,2
"2020-11";33,3;35,4;38,4;40,9
"2020-12";31,2;31,7;36;36,7
"2021-01";32,2;39,6;36,7;45,3
"2021-02";31,8;39,3;36,2;44,9
"2021-03";38,3;40,7;43,6;46,5
"2021-04";36,4;37,7;41,5;43,1
"2021-05";45,8;42,3;52,5;48,5
"2021-06";70,7;65,5;82,1;75,9
"2021-07";86,3;77,9;100,6;90,4
"2021-08";90,6;82,8;105,9;96,5
"2021-09";91,6;83;106,9;96,3
"2021-10";91,1;84,9;106,7;99,2
"2021-11";75,4;80,2;88,2;94
"2021-12";65,3;66,2;76,7;78,1
"2022-01";62;76,6;73,3;90,8
"2022-02";65,2;80,7;77,5;96,2
"2022-03";77,1;82,3;92,1;98,7
"2022-04";90,3;93;109,1;112,6
"2022-05";105;97,6;128,4;119,3
"2022-06";105,7;97,7;130,8;120,6
"2022-07";108,7;97,9;136,5;122,4
"2022-08";106,3;97,2;133,9;122
"2022-09";104,1;93,7;133,2;119,2
"2022-10";101,7;94,9;130;121,1
"2022-11";87,1;93,1;111,5;119,5
"2022-12";89,9;90,7;115,4;117
"2023-01";74,7;93,3;97,1;121,6
"2023-02";75,9;94;99;123
"2023-03";86,9;92,2;114,2;121,6
"2023-04";91,5;94,8;120,8;125,4
"2023-05";102;94,7;135,7;126
"2023-06";103,6;94,9;138,9;126,9
"2023-07";104,3;94;140;125,6
"2023-08";99,9;91,7;133,7;122,3
"2023-09";106,4;95;143,8;127,6
"2023-10";98,5;92,6;133;124,8
"2023-11";86;92;116,3;124,8
"2023-12";91,1;92,1;123;124,9
"2024-01";73,7;92,6;98,5;124
"2024-02";77,3;93,6;103,7;126
"2024-03";88;92,4;119;125,4
"2024-04";88,2;91,8;120,6;125,8
"2024-05";98;90,8;134,7;124,8
"2024-06";99,9;91;138,9;126,2
"2024-07";100,2;91,2;138,2;125,1
"2024-08";99;89,7;137;123,6
"2024-09";99,5;89,4;139,2;124,3
"2024-10";94,3;89,3;131,5;124,3
"2024-11";86,9;91,7;120,5;127,5
"2024-12";87,3;89,3;121,3;124,7
