"Monat";"Originalwert";"Kalender- und saisonbereinigt (X13 JDemetra+)"
"2019-01";86;105,3
"2019-02";87,7;106,9
"2019-03";99,9;105,9
"2019-04";101,4;104,4
"2019-05";109,7;103,3
"2019-06";112;105
"2019-07";112,3;103,4
"2019-08";113,1;103,6
"2019-09";114,2;103,8
"2019-10";111,1;104,7
"2019-11";101,8;106,4
"2019-12";106,7;105,4
"2020-01";86,5;105,1
"2020-02";88,4;104,7
"2020-03";54,7;58,4
"2020-04";25,5;26,4
"2020-05";40,4;37,8
"2020-06";66;61,9
"2020-07";84,8;77,9
"2020-08";90,2;83,1
"2020-09";89;81,5
"2020-10";77,2;71,6
"2020-11";33,3;35,1
"2020-12";31,2;30,9
"2021-01";32,2;38,8
"2021-02";31,8;38,8
"2021-03";38,2;40,9
"2021-04";36,3;37,1
"2021-05";45,7;42,9
"2021-06";70,6;66,8
"2021-07";86,2;78,5
"2021-08";90,6;84,1
"2021-09";91,5;83,8
"2021-10";91,1;84,6
"2021-11";75,3;79,3
"2021-12";65,1;64,1
"2022-01";66,5;80,2
"2022-02";68,9;83,9
"2022-03";80,6;86,3
"2022-04";89,9;91,6
"2022-05";105,3;99,6
"2022-06";105,4;99,3
"2022-07";106,1;97,1
"2022-08";103,9;96,8
"2022-09";105,8;95,9
