"","1995-09-06","1995-12-07","1996-03-07","1996-06-05","1996-09-05","1996-12-04","1997-03-04","1997-06-05","1997-09-10","1997-12-04","1998-02-27","1998-06-04","1998-09-09","1998-12-03","1999-03-04","1999-05-28","1999-06-08","1999-09-09","1999-12-07","2000-03-28","2000-05-30","2000-08-29","2000-11-28","2001-03-01","2001-05-23","2001-08-23","2001-11-22","2002-02-27","2002-05-23","2002-08-22","2002-11-21","2003-02-26","2003-05-22","2003-08-21","2003-11-20","2004-02-19","2004-05-25","2004-08-24","2004-11-23","2005-02-22","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23"
"1991-01",181.3,181.3,181.3,181,180.9,180.9,181.1,181.1,,180.9,180.1,180.1,180.2,180.1,180.1,192.5,98.4,,,,,,,,,,,98.82,98.82,99.56,99.56,99.55,99.56,99.52,0,99.52,99.52,99.37,99.37,99.37,100.06,99.93,99.93,99.93,99.93,99.97,99.97,99.97,99.97,100.04,100.04,100.04,100.04,100.03,100.03,100.03,100.03,99.96,99.96,99.96,99.96,99.94,99.94,99.94,99.95,99.21,99.21,99.21,99.21,99.23,99.23,99.23,99.23,99.2,99.2,99.2,99.2,94.315,94.315,94.315,94.315,94.295,94.303,94.303,94.303,94.317,94.317,94.317,94.325,94.358,94.358,94.358,94.358,94.326,94.327,94.327,94.327,94.541,94.541,94.541,94.541,94.537,94.537,94.537,94.537,94.515,94.515,94.515,94.515,94.504,94.507,94.512,94.526,94.51,94.51,94.512,94.512,94.512,94.58,94.58,94.58,94.58
"1991-04",181.3,181.3,181.3,181.6,182,181.6,181.4,181.4,181.3,181.3,181.6,181.7,181.6,181.6,181.5,193.5,99.4,,,,,,,,,,,99.18,99.18,99.08,99.08,99.1,99.06,99.02,0,99.02,99.02,99.2,99.2,99.2,100.74,100.76,100.76,100.76,100.76,100.77,100.77,100.77,100.77,100.78,100.78,100.78,100.78,100.77,100.77,100.77,100.77,100.81,100.81,100.81,100.81,100.79,100.79,100.79,100.8,100.26,100.26,100.26,100.26,100.24,100.24,100.24,100.24,100.26,100.26,100.26,100.26,95.994,95.994,95.994,95.994,95.961,95.954,95.954,95.954,95.943,95.943,95.943,95.939,95.925,95.925,95.925,95.925,95.94,95.941,95.941,95.941,95.963,95.963,95.963,95.963,95.959,95.959,95.959,95.959,95.97,95.97,95.97,95.97,95.972,95.972,95.954,95.96,95.956,95.956,95.958,95.958,95.958,96.027,96.027,96.027,96.027
"1991-07",184.5,184.5,184.5,184.2,184.8,185.2,185.3,185.3,185.2,185.2,185.1,185.1,185,185.1,185.1,194.5,101.2,,,,,,,,,,,102.11,102.11,101.69,101.69,101.68,101.69,101.66,101.66,101.66,101.66,101.58,101.58,101.59,101.61,101.71,101.71,101.71,101.71,101.75,101.75,101.75,101.75,101.72,101.72,101.72,101.72,101.69,101.69,101.69,101.69,101.73,101.73,101.73,101.73,101.74,101.74,101.74,101.74,101.52,101.52,101.52,101.52,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,97.292,97.292,97.292,97.292,97.281,97.273,97.273,97.273,97.262,97.262,97.262,97.258,97.252,97.252,97.252,97.252,97.263,97.26,97.26,97.26,97.14,97.14,97.14,97.14,97.14,97.14,97.14,97.14,97.16,97.16,97.16,97.16,97.155,97.155,97.161,97.152,97.173,97.173,97.168,97.168,97.168,97.071,97.071,97.071,97.071
"1991-10",183.6,183.6,183.6,183.9,185.3,185.3,185.7,185.7,185.9,185.9,186.5,186.5,186.5,186.6,186.6,195.5,101.1,,,,,,,,,,,101.59,101.59,101.06,101.06,101.06,101.09,100.98,100.98,100.98,100.98,100.86,100.86,100.85,101.64,101.64,101.64,101.64,101.64,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.7,101.7,101.7,101.7,101.74,101.74,101.74,101.72,101.86,101.86,101.86,101.86,101.87,101.87,101.87,101.87,101.9,101.9,101.9,101.9,97.304,97.304,97.304,97.304,97.211,97.218,97.218,97.218,97.226,97.226,97.226,97.226,97.215,97.215,97.215,97.215,97.219,97.22,97.22,97.22,97.322,97.322,97.322,97.322,97.33,97.33,97.33,97.33,97.32,97.32,97.32,97.32,97.335,97.332,97.338,97.327,97.325,97.325,97.326,97.326,97.326,97.362,97.362,97.362,97.362
"1992-01",185.8,185.8,185.8,185.6,185.7,185.7,186.3,186.3,185.8,185.8,185,184.9,185,184.9,185,196.5,101.4,101.6,101.7,101.8,101.18,101.4,,,,,,101.6,101.6,102.21,102.21,102.2,102.21,102.19,102.19,102.19,102.19,102.13,102.13,102.12,103.13,103.02,103.02,103.02,103.02,103.14,103.14,103.14,103.14,103.21,103.21,103.21,103.21,103.17,103.17,103.17,103.17,103.11,103.11,103.11,103.11,103.08,103.08,103.08,103.08,102.35,102.35,102.35,102.35,102.36,102.36,102.36,102.36,102.35,102.35,102.35,102.35,98.172,98.172,98.172,98.172,98.153,98.155,98.155,98.155,98.15,98.15,98.15,98.156,98.213,98.213,98.213,98.213,98.181,98.181,98.181,98.181,98.236,98.236,98.236,98.236,98.233,98.233,98.233,98.233,98.221,98.221,98.221,98.221,98.209,98.212,98.212,98.222,98.205,98.205,98.205,98.205,98.205,98.257,98.257,98.257,98.257
"1992-04",182.9,182.9,182.9,183,183.7,183.2,182.8,182.8,182.8,182.8,183.2,183.2,183.2,183.2,183,197.5,99.7,99.5,99.7,99.7,99.43,99.75,,,,,,99.69,99.69,99.6,99.6,99.63,99.6,99.52,99.52,99.52,99.52,99.7,99.7,99.7,100.72,100.73,100.73,100.73,100.73,100.75,100.75,100.75,100.75,100.76,100.76,100.76,100.76,100.74,100.74,100.74,100.74,100.78,100.78,100.78,100.78,100.77,100.77,100.77,100.78,100.34,100.34,100.34,100.34,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,96.235,96.235,96.235,96.235,96.292,96.286,96.286,96.286,96.282,96.282,96.282,96.28,96.251,96.251,96.251,96.251,96.27,96.27,96.27,96.27,96.312,96.312,96.312,96.312,96.3,96.3,96.3,96.3,96.319,96.319,96.319,96.319,96.316,96.316,96.316,96.324,96.32,96.32,96.32,96.32,96.32,96.36,96.36,96.36,96.36
"1992-07",178.7,178.7,178.7,178.3,178.8,179.2,179.4,179.4,179.4,179.4,179.3,179.3,179.2,179.3,179.3,198.5,97.8,97.7,97.9,97.9,98.29,98.51,,,,,,98.45,98.45,97.99,97.99,97.97,97.99,97.98,97.98,97.98,97.98,97.92,97.92,97.92,98.87,98.98,98.98,98.98,98.98,98.99,98.99,98.99,98.99,98.98,98.98,98.98,98.98,98.98,98.98,98.98,98.98,99,99,99,99,99.01,99.01,99.01,99.02,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.8,98.8,98.8,98.8,95.179,95.179,95.179,95.179,95.179,95.174,95.174,95.174,95.18,95.18,95.18,95.173,95.158,95.158,95.158,95.158,95.167,95.163,95.163,95.163,94.997,94.997,94.997,94.997,95.002,95.002,95.002,95.002,95.009,95.009,95.009,95.009,95.013,95.013,95.013,95.005,95.02,95.02,95.02,95.02,95.02,94.941,94.941,94.941,94.941
"1992-10",180.2,180.2,180.2,180.7,181.1,181.2,182,182,182.1,182.1,182.7,182.7,182.7,182.8,182.9,199.5,98.6,98.6,98.1,98,98.35,98.65,,,,,,98.61,98.61,98.17,98.17,98.18,98.2,98.18,98.18,98.18,98.18,98.18,98.18,98.16,99.54,99.53,99.53,99.53,99.53,99.46,99.46,99.46,99.46,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.43,99.43,99.43,99.43,99.45,99.45,99.45,99.42,99.48,99.48,99.48,99.48,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,95.931,95.931,95.931,95.931,95.991,96,96,96,96.004,96.004,96.004,96.006,95.993,95.993,95.993,95.993,95.996,96,96,96,95.915,95.915,95.915,95.915,95.927,95.927,95.927,95.927,95.912,95.912,95.912,95.912,95.924,95.921,95.921,95.91,95.915,95.915,95.915,95.915,95.915,95.932,95.932,95.932,95.932
"1993-01",167.7,167.7,167.7,167.6,166.6,166.7,167,167,166.6,166.6,166,165.9,166,166,166,200.5,91.9,92.1,92.2,92.2,91.79,92.02,,,,,,92.17,92.17,92.65,92.65,92.64,92.64,92.58,92.58,92.58,92.58,92.49,92.49,92.49,93.35,93.23,93.23,93.23,93.23,93.32,93.32,93.32,93.32,93.41,93.41,93.41,93.41,93.4,93.4,93.4,93.4,93.32,93.32,93.32,93.32,93.3,93.3,93.3,93.3,90.95,90.95,90.95,90.95,90.98,90.98,90.98,90.98,90.96,90.96,90.96,90.96,87.556,87.556,87.556,87.556,87.513,87.513,87.511,87.511,87.525,87.525,87.525,87.525,87.56,87.56,87.56,87.56,87.535,87.539,87.539,87.539,87.587,87.587,87.587,87.587,87.581,87.581,87.581,87.581,87.57,87.57,87.57,87.57,87.559,87.558,87.558,87.571,87.558,87.558,87.558,87.558,87.558,86.184,86.184,86.184,86.184
"1993-04",169.5,169.5,169.5,169.3,169.3,168.8,168.5,168.5,168.5,168.6,168.9,168.9,169,168.8,168.6,201.5,92.4,92.2,92.4,92.4,92.15,92.35,92.33,,,,,92.28,92.28,92.34,92.34,92.36,92.33,92.47,92.47,92.47,92.47,92.49,92.49,92.49,93.85,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.8,93.8,93.8,93.8,93.8,93.8,93.8,93.8,93.86,93.86,93.86,93.86,93.82,93.82,93.82,93.84,91.74,91.74,91.74,91.74,91.74,91.74,91.74,91.74,91.74,91.74,91.74,91.74,87.94,87.94,87.94,87.94,87.953,87.953,87.952,87.952,87.938,87.938,87.938,87.938,87.92,87.92,87.92,87.92,87.933,87.933,87.933,87.933,87.935,87.935,87.935,87.935,87.924,87.924,87.924,87.924,87.941,87.941,87.941,87.941,87.934,87.938,87.938,87.943,87.934,87.934,87.934,87.934,87.934,86.618,86.618,86.618,86.618
"1993-07",172.3,172.3,172.3,172,171.5,171.9,172,172,171.5,171.5,171.3,171.3,171.1,171.3,171.3,202.5,93.7,93.6,93.8,93.8,94.32,94.43,94.25,,,,,94.44,94.44,93.93,93.93,93.92,93.92,93.91,93.91,93.91,93.91,93.86,93.86,93.87,94.91,95.04,95.04,95.04,95.04,95.05,95.05,95.05,95.05,95.08,95.08,95.08,95.08,95.07,95.07,95.07,95.07,95.11,95.11,95.11,95.11,95.09,95.09,95.09,95.11,93.39,93.39,93.39,93.39,93.39,93.39,93.39,93.39,93.36,93.36,93.36,93.36,89.431,89.431,89.431,89.431,89.442,89.435,89.433,89.433,89.435,89.435,89.435,89.431,89.421,89.421,89.421,89.421,89.43,89.426,89.426,89.426,89.282,89.282,89.282,89.282,89.285,89.285,89.285,89.285,89.293,89.293,89.293,89.293,89.303,89.302,89.302,89.294,89.317,89.317,89.317,89.317,89.317,87.819,87.819,87.819,87.819
"1993-10",170.3,170.3,170.3,171,170.4,170.5,171.2,171.2,170.6,170.6,171.1,171.1,171.2,171.2,171.4,203.5,94,94,93.6,93.6,93.78,94.02,94.07,,,,,93.89,93.89,93.64,93.64,93.65,93.67,93.68,93.68,93.68,93.68,93.68,93.69,93.68,94.88,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.79,94.79,94.79,94.79,94.77,94.77,94.77,94.77,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.81,93.26,93.26,93.26,93.26,93.25,93.25,93.25,93.25,93.25,93.25,93.25,93.25,89.15,89.15,89.15,89.15,89.229,89.236,89.24,89.24,89.238,89.238,89.238,89.242,89.234,89.234,89.234,89.234,89.237,89.237,89.237,89.237,89.096,89.096,89.096,89.096,89.109,89.109,89.109,89.109,89.098,89.098,89.098,89.098,89.104,89.103,89.103,89.092,89.091,89.091,89.091,89.091,89.091,87.686,87.686,87.686,87.686
"1994-01",176.5,176.5,176.5,176.4,175.4,175.5,176.4,176.4,174.6,174.6,174,174,174.1,174,174,204.5,96.3,96.5,96.6,96.6,96.12,96.47,96.57,,,,,96.52,96.52,96.88,96.88,96.87,96.87,96.87,96.87,96.87,96.87,96.83,96.83,96.83,97.46,97.34,97.34,97.34,97.34,97.44,97.44,97.44,97.44,97.52,97.52,97.52,97.52,97.5,97.5,97.5,97.5,97.43,97.43,97.43,97.43,97.41,97.41,97.41,97.41,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.09,95.09,95.09,95.09,90.954,90.954,90.954,90.954,90.953,90.961,90.961,90.961,90.972,90.972,90.972,90.973,91.002,91.002,91.002,91.002,90.982,90.993,90.993,90.993,90.943,90.943,90.943,90.943,90.94,90.94,90.94,90.94,90.94,90.94,90.94,90.94,90.916,90.916,90.921,90.94,90.917,90.917,90.917,90.917,90.917,89.407,89.407,89.407,89.407
"1994-04",182.2,182.2,182.2,181.7,182.4,181.9,181.1,181.1,181.6,181.6,182,182,182.1,181.9,181.6,205.5,99.3,99.1,99.3,99.3,99.1,99.44,99.42,99.43,,,,99.37,99.37,99.49,99.49,99.51,99.48,99.62,99.62,99.62,99.62,99.6,99.6,99.6,101.02,101.03,101.03,101.03,101.03,101.05,101.05,101.05,101.05,100.99,100.99,100.99,100.99,100.98,100.98,100.98,100.98,101.01,101.01,101.01,101.01,100.99,100.99,100.99,101,99.1,99.1,99.1,99.1,99.11,99.11,99.11,99.11,99.1,99.1,99.1,99.1,94.937,94.937,94.937,94.937,94.947,94.947,94.947,94.947,94.932,94.932,94.932,94.929,94.927,94.927,94.927,94.927,94.929,94.928,94.928,94.928,94.873,94.873,94.873,94.873,94.872,94.872,94.872,94.872,94.864,94.864,94.864,94.864,94.876,94.876,94.86,94.868,94.854,94.854,94.854,94.854,94.854,93.314,93.314,93.314,93.314
"1994-07",185.6,185.6,185.6,185.3,185.7,186.2,186.2,186.2,186.7,186.6,186.5,186.5,186.2,186.4,186.4,206.5,101.8,101.7,101.9,101.9,102.4,102.68,102.55,102.55,,,,102.63,102.63,102.12,102.12,102.11,102.11,102.1,102.1,102.1,102.1,102.07,102.06,102.07,103.55,103.68,103.68,103.68,103.68,103.7,103.7,103.7,103.7,103.75,103.75,103.75,103.75,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.76,103.76,103.76,103.76,101.87,101.87,101.87,101.87,101.88,101.88,101.88,101.88,101.85,101.85,101.85,101.85,97.29,97.29,97.29,97.29,97.308,97.3,97.296,97.296,97.312,97.312,97.312,97.308,97.281,97.281,97.281,97.281,97.3,97.295,97.295,97.295,97.184,97.184,97.184,97.184,97.186,97.186,97.186,97.186,97.197,97.197,97.197,97.197,97.204,97.206,97.211,97.201,97.24,97.24,97.24,97.24,97.24,95.481,95.481,95.481,95.481
"1994-10",189.3,189.3,189.3,190.2,191.8,191.8,190.6,190.6,190.7,190.7,191,191.1,191.1,191.2,191.5,207.5,104,104.2,103.8,103.7,103.92,104.22,104.27,104.26,104.26,,,104.18,104.18,104.1,104.1,104.11,104.13,104.07,104.07,104.07,104.07,104.01,104.02,104.01,105.68,105.66,105.66,105.66,105.66,105.66,105.66,105.66,105.66,105.57,105.57,105.57,105.57,105.57,105.57,105.57,105.57,105.62,105.62,105.62,105.62,105.66,105.66,105.66,105.65,104.14,104.14,104.14,104.14,104.16,104.16,104.16,104.16,104.16,104.16,104.16,104.16,99.45,99.45,99.45,99.45,99.471,99.471,99.475,99.475,99.466,99.466,99.466,99.471,99.472,99.472,99.472,99.472,99.471,99.465,99.465,99.465,99.428,99.428,99.428,99.428,99.429,99.429,99.429,99.429,99.425,99.425,99.425,99.425,99.43,99.43,99.436,99.419,99.416,99.416,99.416,99.416,99.416,97.626,97.626,97.626,97.626
