"","2006-03-30","2006-04-27","2006-05-31","2006-06-29","2006-08-01","2006-08-31","2006-09-28","2006-11-02","2006-11-30","2007-01-03","2007-01-31","2007-02-28","2007-03-29","2007-05-02","2007-05-31","2007-06-28","2007-07-31","2007-08-30","2007-09-27","2007-10-30","2007-11-29","2008-01-03","2008-01-31","2008-02-28","2008-04-01","2008-04-30","2008-05-29","2008-07-01","2008-07-31","2008-08-28","2008-09-30","2008-10-30","2008-11-27","2009-01-07","2009-01-29","2009-02-26","2009-03-31","2009-04-30","2009-05-28","2009-06-30","2009-07-30","2009-09-01","2009-09-30","2009-10-29","2009-12-01","2010-01-05","2010-01-28","2010-02-25","2010-03-31","2010-04-29","2010-06-01","2010-06-30","2010-07-29","2010-08-31","2010-09-30","2010-10-28","2010-11-30","2011-01-04","2011-02-01","2011-03-01","2011-03-31","2011-04-28","2011-05-31","2011-06-30","2011-07-28","2011-08-31","2011-09-29","2011-11-02","2011-11-30","2012-01-03","2012-01-31","2012-02-29","2012-03-29","2012-05-02","2012-05-31","2012-06-28","2012-07-31","2012-08-30","2012-09-27","2012-10-30","2012-11-29","2013-01-03","2013-01-31","2013-02-28","2013-03-28","2013-04-30","2013-05-29","2013-06-27","2013-07-31","2013-08-29","2013-10-01","2013-10-30","2013-11-28","2014-01-07","2014-01-30","2014-02-27","2014-04-01","2014-04-30","2014-05-28","2014-07-01","2014-07-31","2014-08-28","2014-09-30","2014-10-30","2014-11-27","2015-01-07","2015-01-29","2015-02-26","2015-03-31","2015-04-30","2015-06-02","2015-06-30","2015-07-30","2015-09-01","2015-09-30","2015-10-29","2015-12-01","2016-01-05","2016-02-02","2016-03-01","2016-03-31","2016-04-28","2016-05-31","2016-06-30","2016-07-28","2016-08-31","2016-09-29","2016-11-02","2016-11-30","2017-01-03","2017-01-31","2017-03-01","2017-03-31","2017-05-03","2017-05-31","2017-06-30","2017-08-01","2017-08-31","2017-09-29","2017-11-02","2017-11-30","2018-01-03","2018-01-31","2018-02-28","2018-03-29","2018-04-27","2018-05-30","2018-06-29","2018-07-31","2018-08-30","2018-09-28","2018-10-30","2018-11-29","2019-01-04","2019-01-31","2019-03-01","2019-03-29","2019-04-30","2019-05-29","2019-07-01","2019-07-31","2019-08-29","2019-09-30","2019-10-30","2019-11-29","2020-01-03","2020-01-30","2020-02-28","2020-03-31","2020-04-30","2020-06-03","2020-07-01","2020-07-30","2020-09-01","2020-09-30","2020-10-29","2020-12-01","2021-01-05","2021-01-29","2021-03-02","2021-03-31","2021-04-29","2021-06-01","2021-06-30","2021-07-29","2021-08-31","2021-09-30","2021-10-28","2021-11-30","2022-01-04","2022-02-01","2022-03-02","2022-03-31","2022-05-03","2022-05-31","2022-06-30","2022-07-29","2022-08-31","2022-09-30","2022-11-02","2022-11-30","2023-01-03","2023-01-31","2023-03-01","2023-03-31","2023-04-28","2023-05-31","2023-06-30","2023-08-01","2023-08-31","2023-09-29","2023-11-02","2023-11-30","2024-01-03","2024-01-31","2024-02-29","2024-03-28","2024-04-30","2024-06-04","2024-06-28","2024-07-31","2024-08-30","2024-09-27","2024-10-30","2024-11-29","2025-01-03","2025-01-31","2025-02-28","2025-03-28","2025-04-30","2025-05-28","2025-07-01"
"1999-06",27556,27556,27556,27556,27556,27556,27556,27555,27555,27555,27555,27555,27556,27556,27556,27556,27556,27556,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27559,27454,27486,27454,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27485,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27486,27484,27484,27484,27484,27485,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27484,27483,27483,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476
"1999-07",27536,27536,27536,27536,27536,27536,27536,27536,27536,27536,27536,27536,27536,27536,27536,27537,27537,27537,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27539,27417,27449,27417,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27449,27450,27449,27449,27448,27449,27449,27449,27449,27450,27450,27449,27449,27449,27449,27449,27448,27448,27448,27448,27449,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27448,27447,27447,27447,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445,27445
"1999-08",27551,27550,27550,27550,27550,27550,27550,27550,27550,27550,27550,27550,27550,27550,27550,27551,27551,27551,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27549,27550,27550,27550,27550,27447,27478,27447,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27477,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27478,27477,27477,27477,27477,27477,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27476,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477,27477
"1999-09",27598,27598,27598,27598,27598,27598,27598,27598,27598,27598,27598,27598,27598,27598,27598,27599,27599,27599,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27595,27495,27532,27495,27532,27532,27532,27532,27532,27532,27532,27532,27532,27533,27533,27533,27533,27533,27533,27533,27533,27532,27533,27533,27532,27533,27533,27533,27533,27533,27533,27533,27533,27533,27533,27533,27532,27532,27532,27532,27523,27536,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27535,27536,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537,27537
"1999-10",27597,27597,27597,27597,27597,27597,27597,27597,27597,27597,27597,27597,27597,27597,27598,27589,27589,27590,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27593,27594,27594,27594,27593,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27594,27527,27560,27527,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27558,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27559,27559,27559,27559,27559,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27558,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557
"1999-11",27665,27665,27665,27666,27665,27665,27665,27665,27665,27665,27665,27665,27665,27665,27665,27666,27666,27666,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27664,27665,27665,27665,27665,27665,27665,27665,27665,27665,27665,27665,27665,27664,27664,27664,27664,27665,27665,27664,27664,27664,27664,27665,27664,27664,27664,27664,27624,27656,27624,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27655,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27656,27655,27655,27655,27655,27656,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27655,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651,27651
"1999-12",27722,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27676,27705,27676,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27704,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27705,27704,27704,27704,27704,27704,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27703,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698,27698
"2000-01",27780,27780,27780,27781,27781,27781,27781,27781,27781,27781,27781,27781,27781,27781,27781,27782,27782,27782,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27783,27783,27783,27783,27783,27783,27783,27783,27783,27783,27783,27783,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27783,27784,27784,27784,27784,27711,27736,27711,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27735,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27736,27735,27735,27735,27735,27736,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27735,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730,27730
"2000-02",27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27815,27815,27815,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27815,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27815,27815,27815,27815,27758,27779,27758,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27778,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27778,27778,27778,27778,27778,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27777,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774,27774
"2000-03",27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27847,27847,27847,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27845,27845,27845,27846,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27793,27812,27793,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27811,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27812,27811,27811,27811,27811,27811,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27810,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807
"2000-04",27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27837,27838,27838,27838,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27835,27835,27835,27836,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27836,27836,27836,27836,27793,27818,27793,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27817,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27818,27816,27816,27816,27816,27817,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833,27833
"2000-05",27879,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27879,27879,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27849,27875,27849,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27888,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27874,27889,27889,27889,27888,27889,27888,27888,27888,27888,27888,27888,27888,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27890,27890,27890,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900
"2000-06",27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27887,27910,27887,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27908,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27910,27908,27908,27908,27908,27909,27908,27908,27908,27908,27908,27908,27908,27907,27908,27908,27908,27907,27908,27907,27908,27907,27907,27908,27908,27907,27907,27907,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900
"2000-07",27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27917,27917,27916,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27923,27945,27923,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27943,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27943,27943,27943,27943,27944,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940,27940
"2000-08",27949,27948,27948,27948,27948,27947,27947,27947,27947,27947,27947,27947,27947,27947,27948,27948,27948,27948,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27947,27947,27947,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27963,27986,27963,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27986,27985,27986,27986,27986,27987,27987,27987,27987,27987,27987,27987,27987,27985,27985,27985,27985,27986,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985,27985
"2000-09",27933,27933,27933,27933,27933,27932,27932,27932,27932,27932,27932,27932,27932,27932,27933,27933,27934,27934,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27931,27931,27931,27931,27931,27910,27935,27910,27935,27936,27936,27935,27936,27935,27935,27935,27935,27936,27936,27936,27936,27936,27936,27936,27936,27935,27936,27936,27935,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27935,27935,27935,27935,27927,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939,27939
"2000-10",27947,27947,27947,27947,27947,27947,27947,27946,27946,27946,27946,27946,27947,27947,27947,27940,27940,27940,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27945,27945,27945,27944,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27944,27944,27944,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27911,27936,27911,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27935,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27935,27935,27935,27935,27936,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934,27934
